Id,SalePrice
1461,167752.48
1462,174051.45
1463,197238.92
1464,216858.78
1465,145175.03
1466,161992.3
1467,143578.97
1468,160275.38
1469,267435.47
1470,96033.76
1471,92176.664
1472,159529.98
1473,93336.89
1474,139544.12
1475,81462.07
1476,309634.1
1477,249748.88
1478,256839.17
1479,249373.31
1480,443498.22
1481,355610.53
1482,222104.98
1483,166746.98
1484,150890.8
1485,238331.14
1486,242041.6
1487,331467.7
1488,267961.62
1489,199741.56
1490,211360.83
1491,230459.14
1492,70830.71
1493,229082.81
1494,226766.14
1495,268479.1
1496,243025.08
1497,179817.22
1498,210477.58
1499,162863.48
1500,196262.28
1501,203895.67
1502,137629.31
1503,7090100.0
1504,239549.11
1505,213521.53
1506,201124.52
1507,268026.28
1508,332782.47
1509,205976.14
1510,148619.75
1511,143639.1
1512,241884.92
1513,506284.62
1514,174075.19
1515,319193.4
1516,171114.12
1517,176088.17
1518,102301.13
1519,184519.81
1520,185844.52
1521,186621.0
1522,222159.0
1523,177585.56
1524,198451.56
1525,107141.37
1526,163939.97
1527,44266.09
1528,145339.75
1529,127298.57
1530,250866.05
1531,365225.22
1532,51004.504
1533,256724.81
1534,90215.195
1535,209910.69
1536,55691.23
1537,36696.582
1538,65780.33
1539,137560.95
1540,45340.945
1541,128804.53
1542,233039.0
1543,104935.78
1544,122863.25
1545,93772.46
1546,280166.53
1547,206588.73
1548,104185.31
1549,74882.445
1550,188428.14
1551,155400.83
1552,280900.12
1553,87452.16
1554,83647.82
1555,120114.45
1556,50611.637
1557,35501.87
1558,47323.438
1559,272227.34
1560,518049.7
1561,64147.06
1562,108819.46
1563,127410.68
1564,102004.29
1565,202124.58
1566,969852.0
1567,63634.75
1568,245990.4
1569,153825.9
1570,130481.27
1571,160787.47
1572,202534.22
1573,184656.23
1574,92320.414
1575,130267.3
1576,173322.14
1577,230345.77
1578,77779.26
1579,74105.88
1580,176925.11
1581,187521.6
1582,155951.03
1583,270981.2
1584,196839.05
1585,128338.59
1586,39997.793
