Id,SalePrice
1461,120286.41
1462,151623.44
1463,187479.2
1464,200683.27
1465,194309.77
1466,175418.56
1467,174178.48
1468,168437.31
1469,187702.83
1470,125128.3
1471,185428.83
1472,100021.62
1473,100365.414
1474,144318.5
1475,106765.195
1476,365998.6
1477,242049.22
1478,291561.97
1479,287837.5
1480,452705.0
1481,345315.4
1482,219842.53
1483,177213.36
1484,162190.02
1485,204066.86
1486,202090.08
1487,338580.53
1488,229205.62
1489,186934.67
1490,237903.53
1491,197332.06
1492,91101.82
1493,177314.28
1494,302146.88
1495,292869.25
1496,229968.02
1497,176354.7
1498,170616.16
1499,163002.55
1500,162585.23
1501,180495.02
1502,152701.77
1503,281515.3
1504,247744.12
1505,223541.9
1506,186488.81
1507,246137.77
1508,201034.19
1509,164938.28
1510,146333.61
1511,148655.47
1512,172776.88
1513,148125.92
1514,146484.69
1515,192775.75
1516,155440.55
1517,166094.2
1518,125987.32
1519,202700.98
1520,130928.52
1521,131010.83
1522,177246.16
1523,112532.32
1524,130568.414
1525,121241.16
1526,110711.516
1527,111923.12
1528,141405.97
1529,149628.2
1530,181929.22
1531,118330.2
1532,97797.94
1533,154589.47
1534,122005.516
1535,153563.11
1536,109482.336
1537,63858.29
1538,151985.22
1539,201687.1
1540,91673.81
1541,146761.28
1542,140418.92
1543,199064.58
1544,88247.9
1545,113428.555
1546,136627.72
1547,136335.5
1548,136297.94
1549,121172.15
1550,131182.86
1551,107567.48
1552,138115.95
1553,151820.08
1554,118360.34
1555,170763.14
1556,81352.6
1557,108046.07
1558,101030.44
1559,76027.66
1560,132721.98
1561,123970.8
1562,130334.52
1563,120173.35
1564,156483.03
1565,145219.62
1566,238221.84
1567,79190.5
1568,243249.3
1569,140112.06
1570,147747.11
1571,129049.336
1572,145463.72
1573,229181.58
1574,118982.45
1575,226090.47
1576,255490.89
1577,178444.42
1578,142674.95
1579,154915.48
1580,201427.98
1581,160009.33
1582,127768.9
1583,280222.38
1584,224929.56
1585,139914.03
1586,58384.17
1587,105384.97
1588,151892.78
1589,96326.81
